sale_id,store_id,employee_id,product_id,customer_id,quantity,sale_date,unit_price,discount_pct,payment_method
1,3,21,3878,99,2,20/01/2025,184.16,8.1,Cash
7,3,88,465,997,1,20/10/2024,108.23,6.9,Cash
8,2,32,3997,131,1,07/12/2024,298.25,6.4,Debit Card
12,2,13,4985,151,2,26/07/2025,140.55,5.4,Cash
13,1,3,3210,205,4,09/03/2025,179.13,32.4,Credit Card
14,4,1,3035,636,2,14/02/2025,126.69,6.5,Online
17,1,50,2186,247,1,13/07/2025,296.3,22.9,Debit Card
22,2,32,1357,22,1,01/12/2024,230.1,11.3,Debit Card
23,1,4,786,725,5,01/07/2025,163.5,31.6,Credit Card
25,4,56,125,253,1,24/11/2024,232.84,9.1,Debit Card
27,4,1,3000,268,1,30/01/2025,173.49,6.2,Credit Card
28,2,73,2361,84,3,04/11/2025,268.45,8.3,Debit Card
30,2,26,2615,1095,1,07/12/2025,23.33,5.8,Online
32,2,28,3846,208,2,03/04/2025,218.67,3.3,Debit Card
36,2,110,2467,1413,2,25/06/2025,28.94,5.8,Credit Card
41,3,14,2918,1220,2,08/11/2025,251.62,7.9,Online
42,4,70,4084,23,1,03/11/2024,71.25,8.8,Debit Card
45,1,4,138,200,2,11/06/2025,118.18,31.9,Cash
46,4,1,3553,845,1,14/12/2024,32.74,4.3,Debit Card
47,1,79,859,124,5,09/05/2025,108.38,23.7,Cash
48,2,89,4537,16,4,31/12/2024,290.19,10.1,Debit Card
50,2,73,4815,446,5,28/04/2025,232.98,4.7,Credit Card
52,3,115,1227,198,1,12/07/2025,73.42,11.1,Credit Card
57,1,68,3218,225,1,28/11/2025,272.02,30.3,Cash
68,4,1,2155,237,1,09/10/2025,286.89,4.9,Online
69,4,42,3163,65,2,16/12/2024,184.56,10.9,Credit Card
72,1,118,3071,142,5,11/12/2024,140.59,27.0,Cash
75,4,70,3831,73,3,07/10/2025,38.97,11.6,Debit Card
76,3,53,1330,292,2,29/10/2025,292.14,3.8,Cash
77,3,53,4376,16,1,19/06/2025,211.53,11.0,Online
81,1,68,55,1057,1,30/12/2024,116.23,24.5,Cash
83,1,50,3053,102,1,25/10/2025,128.99,28.5,Online
84,1,59,3006,647,2,20/12/2024,112.5,33.2,Online
86,1,48,972,21,2,23/01/2025,271.6,27.8,Credit Card
90,3,88,656,449,1,09/12/2025,81.35,6.7,Credit Card
91,4,31,1389,115,2,29/06/2025,112.44,4.3,Credit Card
93,2,43,91,101,1,25/11/2025,64.72,7.7,Online
95,4,70,1180,1240,3,21/05/2025,240.09,6.2,Debit Card
100,4,56,1362,295,3,03/10/2024,218.5,4.7,Debit Card
101,2,13,3765,171,2,13/09/2025,241.94,9.7,Cash
104,4,31,4954,1323,1,17/11/2025,155.85,5.5,Credit Card
119,2,45,1219,254,2,19/04/2025,127.72,7.8,Credit Card
123,4,70,1455,1273,3,14/11/2024,152.53,9.5,Credit Card
127,1,29,278,105,2,11/06/2025,272.39,31.4,Debit Card
136,2,73,1403,1480,2,11/10/2024,43.48,10.9,Debit Card
138,1,29,3675,76,3,05/11/2025,44.84,26.8,Debit Card
139,1,29,2136,278,3,06/01/2025,129.56,28.8,Credit Card
144,1,48,2076,1015,2,01/05/2025,159.48,25.7,Credit Card
145,1,86,2604,1243,1,23/04/2025,113.66,31.3,Cash
148,3,14,3553,1100,5,28/09/2025,32.74,4.7,Online
151,1,29,2050,28,5,20/06/2025,153.88,24.9,Cash
152,2,26,146,857,5,04/02/2025,200.3,6.1,Debit Card
153,4,70,4559,73,5,13/10/2024,182.04,8.7,Online
156,4,42,4100,105,1,22/12/2024,121.02,4.4,Debit Card
160,1,79,229,41,1,15/04/2025,25.06,24.5,Cash
162,3,115,4514,690,2,20/12/2024,123.51,5.4,Debit Card
164,2,8,1453,43,2,02/01/2025,197.77,6.0,Credit Card
165,1,29,1139,63,4,08/04/2025,178.94,27.7,Online
167,3,115,3082,8,1,02/08/2025,282.19,7.0,Cash
168,4,56,3448,502,1,11/10/2024,112.32,11.9,Debit Card
169,2,8,211,256,3,17/01/2025,107.48,3.9,Debit Card
170,4,31,4972,192,1,20/02/2025,55.42,5.7,Debit Card
174,1,50,2492,70,2,18/11/2025,178.22,23.1,Credit Card
177,3,46,3922,1316,2,12/05/2025,131.26,4.1,Credit Card
180,4,42,4492,145,5,04/04/2025,81.38,4.5,Credit Card
181,1,79,3433,1449,2,25/06/2025,246.77,29.6,Debit Card
186,2,11,3786,1456,5,05/03/2025,55.24,7.0,Cash
187,2,32,1379,270,1,30/09/2025,148.36,4.7,Credit Card
188,4,31,4272,1324,5,30/10/2025,48.45,5.0,Debit Card
189,2,13,821,189,1,06/01/2025,248.14,8.6,Debit Card
191,2,35,361,145,2,15/12/2024,68.51,4.6,Debit Card
192,4,42,1705,410,1,28/08/2025,267.25,8.3,Debit Card
193,4,1,4931,313,4,15/10/2024,136.97,9.6,Cash
194,3,46,4023,277,2,28/11/2025,212.47,11.5,Online
197,2,43,2796,145,1,15/02/2025,213.06,5.2,Debit Card
199,2,114,4401,953,3,10/11/2025,288.3,10.4,Credit Card
206,3,88,4081,9,5,04/03/2025,157.77,4.8,Online
208,2,73,4884,570,1,15/01/2025,135.47,7.4,Online
209,4,56,1447,156,3,02/11/2024,96.65,8.9,Cash
212,4,1,4552,10,1,27/01/2025,66.2,11.6,Debit Card
213,2,83,1685,213,3,19/02/2025,86.47,6.0,Debit Card
214,2,43,1078,119,1,29/09/2025,249.33,11.0,Debit Card
225,4,31,2805,935,5,19/05/2025,81.55,3.9,Credit Card
228,3,88,1015,163,1,22/11/2025,7.74,4.1,Cash
229,3,46,2983,154,2,30/11/2024,29.96,3.1,Online
231,3,88,563,120,2,03/01/2025,275.33,5.0,Credit Card
235,4,1,4254,120,1,27/01/2025,54.34,8.9,Debit Card
237,3,14,3463,235,2,20/01/2025,200.2,8.7,Credit Card
242,4,31,2410,73,1,05/08/2025,37.66,9.5,Cash
244,1,86,4667,77,3,29/10/2024,95.59,33.8,Cash
247,3,46,2216,190,1,30/03/2025,263.8,5.3,Online
250,2,114,1918,220,2,04/07/2025,100.76,7.5,Credit Card
251,4,1,2516,12,1,20/12/2024,242.08,9.7,Debit Card
258,2,45,3142,1269,5,03/11/2025,74.54,9.4,Debit Card
263,4,34,3824,93,2,30/10/2024,240.16,8.9,Online
265,4,34,2310,901,4,28/10/2024,54.89,3.4,Credit Card
267,2,8,1644,950,1,14/07/2025,220.3,3.9,Debit Card
271,3,88,3187,5,1,09/12/2025,192.28,9.2,Debit Card
276,2,73,616,90,1,05/03/2025,243.94,7.5,Debit Card
278,1,3,2108,132,1,22/09/2025,121.39,32.6,Cash
285,4,56,1293,140,4,20/08/2025,136.53,3.8,Cash
287,2,28,1862,389,2,12/08/2025,184.03,7.9,Cash
