sale_id,store_id,employee_id,product_id,customer_id,qty,sale_date,amount,discount_pct,payment_method
9,5,20,4144,179,2,2025-09-20,$82.38,9.7,Debit Card
10,6,72,1251,1153,1,2025-08-12,$109.1,8.3,CREDIT CARD
11,6,49,1974,259,2,2025-08-06,$207.46,5.2,cash
16,8,80,4422,1387,4,2025-02-04,$156.66,9.1,Debit Card
19,7,84,2072,606,1,2025-06-14,$202.15,10.9,Credit Card
20,5,47,1872,543,2,2024-11-18,$185.4,6.0,Online
21,8,94,1097,211,3,2025-11-25,$232.12,9.0,CREDIT CARD
31,5,22,4098,365,5,2025-02-03,$155.98,10.2,credit card
33,6,107,1233,899,1,2025-11-27,$49.76,3.2,debit card
35,7,62,11,1117,1,2025-02-20,$158.76,9.2,ONLINE
38,8,85,969,1413,2,2024-12-03,$295.64,5.6,Online
43,7,62,3158,1096,1,2025-02-24,$83.07,4.6,debit card
55,6,99,1824,1056,2,2025-02-13,$280.03,9.0,ONLINE
58,7,84,4325,1185,2,2025-03-23,$112.02,4.0,CASH
60,8,109,1582,858,2,2024-12-08,$128.4,6.5,DEBIT CARD
64,5,20,3121,20,1,2024-10-28,$126.17,9.9,online
65,5,47,1533,155,1,2025-07-08,$153.89,4.7,cash
73,7,5,4788,595,3,2025-08-19,$287.26,3.3,Cash
74,8,109,4921,197,1,2025-09-01,$17.24,12.0,Debit Card
79,7,95,949,1103,1,2024-11-07,$251.93,3.9,credit card
80,6,96,4412,132,1,2025-11-06,$283.73,8.1,credit card
85,5,47,955,33,4,2024-10-30,$126.3,8.1,Credit Card
87,7,84,902,228,2,2025-01-31,$47.39,6.2,online
92,7,7,380,1197,3,2024-12-09,$248.95,11.0,debit card
96,7,95,4143,563,1,2025-03-29,$176.87,4.0,Credit Card
99,8,80,4797,808,1,2024-10-27,$159.32,4.0,CREDIT CARD
107,5,92,4115,161,2,2025-09-05,$127.6,11.0,DEBIT CARD
108,6,49,807,97,5,2024-12-15,$37.9,4.5,Online
109,6,74,1013,107,4,2025-09-20,$286.25,10.0,Credit Card
111,5,47,3875,1425,2,2024-10-14,$131.19,4.8,cash
113,7,5,3253,590,2,2024-10-22,$57.77,9.0,Debit Card
115,7,95,1110,415,4,2025-05-06,$231.31,11.8,credit card
116,7,62,4215,1068,4,2024-10-11,$237.07,3.5,Credit Card
118,6,99,3899,215,5,2025-11-17,$260.24,5.6,Cash
120,8,109,3471,1271,2,2024-11-07,$27.97,9.7,cash
125,6,99,4649,6,1,2024-12-28,$32.45,8.9,Debit Card
126,7,41,1108,479,3,2025-02-05,$263.23,5.8,Cash
128,6,78,4084,316,2,2025-10-25,$71.25,11.2,DEBIT CARD
129,8,85,2555,286,1,2024-10-21,$237.81,8.3,debit card
130,5,20,2423,1372,3,2024-11-29,$54.43,11.6,Credit Card
131,8,112,603,96,5,2025-08-11,$127.57,8.1,Online
132,6,78,958,26,2,2025-11-09,$76.1,10.7,CASH
133,7,84,4814,334,3,2025-05-27,$62.81,11.6,CREDIT CARD
135,7,7,970,751,1,2024-12-30,$233.78,11.7,Credit Card
137,8,112,2195,201,3,2025-02-25,$242.86,6.6,debit card
141,6,66,795,885,1,2025-04-10,$69.15,10.2,Cash
142,8,57,2696,268,5,2025-08-07,$129.76,8.2,CREDIT CARD
147,5,47,475,1209,1,2025-08-06,$83.7,5.9,cash
154,8,30,1149,171,2,2025-01-04,$95.09,4.8,debit card
155,6,74,3261,689,1,2025-10-12,$241.27,4.9,Online
157,7,7,4815,116,2,2025-05-04,$232.98,5.1,credit card
159,6,72,1402,229,5,2024-11-09,$106.26,11.8,cash
161,8,116,1388,1160,4,2024-10-28,$113.81,9.6,Credit Card
163,5,119,2779,257,1,2025-07-23,$261.33,7.5,Debit Card
166,7,104,1631,50,1,2025-08-11,$46.21,6.2,debit card
176,7,19,2152,25,1,2025-09-20,$204.48,5.8,Debit Card
178,5,76,172,643,5,2024-11-28,$158.28,4.3,credit card
179,5,105,2684,5,2,2024-11-20,$248.46,5.2,debit card
184,5,119,2208,239,1,2024-12-03,$60.6,11.6,Cash
190,5,105,1462,137,3,2025-11-23,$270.38,4.1,credit card
