sale_id,store_id,employee_id,product_id,customer_id,quantity,sale_date,unit_price,discount_pct,payment_method,notes
2,11,44,4308,1300,3,2025-10-06,56.69,29.6,Debit Card,
3,11,63,2359,586,5,2025-12-09,104.55,33.7,Credit Card,
4,10,33,44,1381,2,2025-08-18,38.39,25.6,Credit Card,
5,12,60,3991,146,5,2024-12-12,21.74,4.6,Debit Card,Promo code LOYALTY20 applied at checkout
6,10,16,1274,158,5,2025-08-02,102.58,32.3,Cash,
15,10,101,3653,80,3,2025-01-27,185.64,25.4,Credit Card,Promo code WELCOME15 applied at checkout
18,11,63,4795,795,5,2025-08-01,213.27,32.4,Cash,Price matched to competitor flyer
24,9,61,3820,1362,2,2025-01-10,233.4,7.4,Credit Card,
26,11,97,2982,1362,1,2025-09-04,164.75,29.5,Credit Card,Promo code SAVE10 applied at checkout
29,11,64,4913,120,1,2025-01-25,96.45,26.6,Cash,
34,11,12,1054,426,1,2024-12-07,245.44,24.6,Cash,Promo code LOYALTY20 applied at checkout
37,12,93,3955,454,2,2024-12-19,21.86,8.7,Cash,
39,9,61,1113,236,2,2025-05-31,155.61,3.3,Debit Card,
40,10,33,648,1020,5,2025-04-23,102.52,25.9,Credit Card,
44,11,63,932,205,1,2025-10-10,21.25,23.3,Online,
49,9,111,715,136,1,2025-11-07,91.81,8.8,Debit Card,Promo code SAVE10 applied at checkout
51,12,102,1809,1361,4,2025-03-26,154.49,5.4,Credit Card,
53,12,108,1003,893,1,2025-07-03,221.6,6.4,Credit Card,
54,11,44,3686,101,4,2025-07-11,112.16,23.6,Debit Card,Loyalty tier discount applied
56,11,81,3525,797,1,2025-09-25,232.12,32.7,Online,
59,11,12,240,19,2,2025-09-20,145.18,25.1,Cash,Loyalty tier discount applied
61,9,61,2407,18,5,2025-03-18,40.4,8.2,Debit Card,
62,9,51,3829,1095,1,2025-05-05,21.98,4.7,Online,
63,12,18,2037,89,5,2025-04-17,134.21,5.9,Credit Card,Price matched to competitor flyer
66,11,64,1861,90,2,2025-08-10,150.67,25.3,Online,Price matched to competitor flyer
67,12,36,2398,456,3,2025-05-08,76.97,6.5,Credit Card,
70,10,39,3995,1249,1,2025-05-10,47.13,32.4,Debit Card,Promo code WELCOME15 applied at checkout
71,11,44,3852,184,2,2025-01-11,39.73,29.0,Online,Loyalty tier discount applied
78,11,44,2426,382,1,2025-09-04,6.96,32.8,Cash,
82,12,108,364,123,5,2025-02-25,46.25,4.4,Credit Card,Promo code SAVE10 applied at checkout
88,9,51,3488,18,1,2024-10-16,26.16,10.9,Online,Promo code SAVE10 applied at checkout
89,11,81,635,249,3,2025-03-02,261.12,25.5,Debit Card,Promo code WELCOME15 applied at checkout
94,12,18,4164,119,5,2025-04-10,295.7,9.7,Credit Card,Promo code SEASON25 applied at checkout
97,11,97,4362,265,1,2025-04-02,108.42,33.9,Debit Card,Price matched to competitor flyer
98,9,52,3325,166,4,2025-06-30,134.9,7.3,Cash,
102,12,100,3780,978,5,2025-06-04,251.54,10.9,Debit Card,Price matched to competitor flyer
103,9,111,2875,884,1,2025-09-19,183.71,5.5,Online,Promo code SAVE10 applied at checkout
105,9,61,4624,1485,1,2025-06-17,94.8,3.9,Cash,
106,9,27,3236,6,1,2025-07-10,173.53,6.8,Online,Promo code LOYALTY20 applied at checkout
110,12,100,1061,1095,3,2025-08-26,174.31,5.0,Cash,Promo code SAVE10 applied at checkout
112,10,16,3558,1321,4,2024-11-25,34.06,28.3,Credit Card,
114,11,12,2655,278,1,2024-10-24,49.05,26.9,Cash,Promo code WELCOME15 applied at checkout
117,12,93,646,4,2,2024-12-11,254.91,3.6,Credit Card,
121,11,64,945,87,2,2024-12-29,286.62,26.0,Debit Card,
122,10,101,1642,734,2,2025-06-22,94.46,25.8,Cash,
124,11,64,2757,793,2,2025-11-14,86.9,23.9,Cash,
134,9,111,4746,172,3,2025-05-21,37.73,11.8,Debit Card,
140,10,38,2603,174,1,2024-11-20,138.18,30.1,Debit Card,Promo code SEASON25 applied at checkout
143,10,117,1873,1225,1,2025-02-21,130.47,28.3,Credit Card,Price matched to competitor flyer
146,12,108,3691,150,2,2025-09-19,104.89,8.7,Debit Card,
149,10,71,4504,382,4,2025-03-31,109.51,28.4,Credit Card,
150,10,38,2688,1232,1,2025-04-02,164.33,23.7,Credit Card,
158,9,111,461,107,3,2025-07-27,57.51,3.2,Debit Card,
171,12,100,4465,174,5,2025-09-21,209.9,6.5,Debit Card,
172,9,25,1807,231,4,2025-10-29,46.18,7.0,Cash,
173,9,51,4233,238,4,2025-02-25,169.21,11.6,Cash,
175,12,18,2070,266,3,2025-03-12,58.84,5.5,Credit Card,Price matched to competitor flyer
182,11,12,1664,25,4,2024-11-15,200.07,32.4,Cash,Loyalty tier discount applied
183,9,111,4954,74,3,2025-10-26,155.85,8.1,Credit Card,Promo code LOYALTY20 applied at checkout
185,11,63,3003,177,1,2024-10-18,212.08,30.1,Credit Card,
195,10,90,606,95,2,2024-10-19,119.69,25.2,Credit Card,
200,9,111,430,103,1,2024-10-21,141.68,5.7,Debit Card,
201,12,108,2772,74,1,2025-02-25,274.94,6.0,Debit Card,
203,12,60,364,34,4,2024-10-01,46.25,3.4,Online,
210,10,87,3343,50,2,2024-12-29,86.21,27.7,Credit Card,
216,11,12,2993,144,3,2024-10-11,231.47,25.2,Cash,
217,12,108,513,154,1,2025-01-01,132.35,10.5,Debit Card,
218,9,120,2080,11,2,2025-10-09,182.55,5.4,Credit Card,Price matched to competitor flyer
222,12,108,3227,80,4,2025-01-24,95.93,3.6,Credit Card,
224,10,39,2749,68,1,2025-03-26,231.38,26.1,Credit Card,
226,10,39,446,111,1,2024-12-23,284.64,30.8,Debit Card,Price matched to competitor flyer
230,12,108,2207,244,1,2025-04-02,244.37,6.0,Credit Card,Promo code LOYALTY20 applied at checkout
232,10,101,3028,274,2,2025-11-27,82.38,28.9,Debit Card,Promo code SEASON25 applied at checkout
238,11,64,694,19,4,2025-05-19,213.73,24.3,Cash,Promo code SEASON25 applied at checkout
240,10,71,2154,1286,2,2024-11-04,10.49,30.9,Credit Card,Price matched to competitor flyer
243,12,36,1437,26,5,2025-08-08,268.15,5.7,Debit Card,Price matched to competitor flyer
245,10,87,162,292,5,2025-11-28,197.52,31.3,Cash,Price matched to competitor flyer
246,12,93,1461,401,1,2025-08-17,46.21,11.7,Credit Card,Price matched to competitor flyer
249,11,44,3910,104,1,2025-09-20,68.18,27.4,Credit Card,
252,11,64,4469,5,2,2025-06-09,135.98,24.7,Online,
253,10,90,4059,894,4,2024-10-14,123.78,25.4,Credit Card,
255,11,63,878,844,1,2025-08-26,294.51,22.8,Debit Card,
257,12,102,1126,946,3,2024-10-12,81.85,11.7,Debit Card,Loyalty tier discount applied
259,11,81,4962,267,1,2025-11-30,288.46,25.6,Online,
261,9,25,478,62,1,2025-08-22,171.31,11.8,Cash,
262,9,52,22,98,2,2025-05-26,78.32,11.2,Online,
264,10,87,4817,1335,5,2025-01-26,296.98,29.8,Online,
266,11,63,3718,160,1,2025-01-14,246.76,30.8,Credit Card,
268,9,52,4491,817,1,2025-06-30,5.44,3.8,Cash,
273,11,63,349,23,1,2025-04-13,263.46,28.6,Debit Card,Promo code SAVE10 applied at checkout
279,10,71,1155,711,1,2024-10-14,246.99,24.0,Debit Card,Promo code SAVE10 applied at checkout
282,10,16,449,1287,4,2025-04-15,80.26,28.4,Online,
283,10,101,226,1,4,2025-04-16,200.65,23.5,Cash,
290,10,39,2447,635,5,2025-01-07,69.12,25.1,Credit Card,
295,10,55,3861,762,5,2025-04-15,60.3,33.1,Credit Card,
297,11,12,1602,1366,3,2025-07-17,266.44,33.4,Debit Card,Price matched to competitor flyer
299,12,36,885,157,5,2024-10-02,276.44,11.9,Credit Card,Promo code SEASON25 applied at checkout
300,10,87,99,6,4,2024-12-18,250.24,23.7,Online,
303,12,36,1467,289,2,2025-01-14,29.87,4.8,Debit Card,Price matched to competitor flyer
306,9,27,2901,12,2,2024-12-12,69.74,5.1,Credit Card,Loyalty tier discount applied
315,11,12,427,1140,2,2025-01-10,160.66,30.1,Cash,
319,12,102,2076,2,3,2025-08-30,159.48,6.7,Cash,
321,12,36,1760,314,2,2025-06-25,186.34,7.8,Cash,Price matched to competitor flyer
322,10,71,2560,252,3,2025-12-06,298.12,29.3,Debit Card,Promo code SEASON25 applied at checkout
323,10,33,4153,1208,2,2025-07-29,35.24,24.2,Cash,Promo code WELCOME15 applied at checkout
326,12,93,2277,152,2,2024-11-11,127.96,5.5,Debit Card,Promo code SAVE10 applied at checkout
329,9,120,3648,192,5,2025-08-27,263.28,5.2,Credit Card,
332,11,81,3272,246,1,2025-09-01,96.34,31.5,Credit Card,
335,10,33,4340,270,2,2025-04-14,139.94,28.4,Cash,Promo code SAVE10 applied at checkout
337,10,39,3670,350,4,2025-05-14,60.46,22.9,Debit Card,
338,12,102,2938,371,5,2025-11-14,114.66,11.1,Cash,Price matched to competitor flyer
340,9,51,4891,68,4,2025-01-22,270.82,7.4,Online,
343,12,108,2931,1339,3,2024-12-24,29.43,5.8,Debit Card,
347,11,63,1953,91,2,2025-07-17,217.53,24.1,Credit Card,
350,11,12,4790,1117,1,2025-01-27,239.56,31.2,Cash,Promo code SAVE10 applied at checkout
354,11,44,460,141,2,2025-05-28,42.48,26.5,Credit Card,
356,9,106,294,1161,1,2025-01-18,30.32,11.9,Credit Card,Price matched to competitor flyer
362,12,102,2743,146,1,2025-04-15,254.83,8.6,Debit Card,Promo code SEASON25 applied at checkout
363,12,60,1299,36,4,2025-01-14,33.52,11.7,Credit Card,
364,9,24,3929,182,1,2025-11-20,16.62,11.9,Debit Card,Promo code LOYALTY20 applied at checkout
367,10,16,4896,178,1,2024-12-30,209.13,28.7,Debit Card,Promo code WELCOME15 applied at checkout
371,9,37,2014,90,1,2025-12-03,131.51,5.2,Credit Card,Promo code SEASON25 applied at checkout
372,10,75,3646,1318,1,2025-04-05,261.37,32.5,Online,Promo code SEASON25 applied at checkout
373,10,101,998,286,2,2025-12-02,201.38,23.9,Cash,
374,11,64,3608,1062,5,2025-03-09,206.88,24.1,Debit Card,
376,11,63,209,4,3,2025-01-26,25.49,26.9,Credit Card,Price matched to competitor flyer
377,9,120,2226,846,1,2025-07-31,72.47,6.4,Debit Card,
378,9,37,2648,193,3,2024-10-30,60.7,10.4,Online,
380,11,64,4468,120,1,2025-11-16,72.0,30.1,Online,Promo code SEASON25 applied at checkout
382,10,75,1044,986,5,2025-04-29,188.22,24.0,Cash,Price matched to competitor flyer
385,12,18,1621,181,1,2025-11-08,79.05,4.1,Credit Card,
390,9,37,4897,39,1,2025-07-17,54.58,8.8,Debit Card,Promo code WELCOME15 applied at checkout
391,11,63,1445,188,4,2025-03-16,262.56,30.3,Credit Card,
396,11,81,4101,193,1,2025-01-27,195.12,25.7,Cash,
400,9,27,653,620,3,2025-07-07,28.61,8.6,Credit Card,
401,11,64,1373,105,4,2025-08-12,120.71,32.5,Debit Card,
405,9,111,2501,385,1,2025-01-26,53.29,10.5,Credit Card,Promo code SEASON25 applied at checkout
408,12,36,3654,242,2,2025-08-03,33.13,9.8,Credit Card,Loyalty tier discount applied
409,12,102,1133,71,4,2024-11-20,29.5,10.4,Online,Loyalty tier discount applied
415,12,60,1525,259,1,2025-08-23,169.8,9.4,Cash,
416,12,36,4457,1016,1,2025-08-23,194.12,7.1,Online,Promo code SAVE10 applied at checkout
419,12,102,695,54,3,2024-11-28,256.57,4.5,Debit Card,
421,11,97,4529,293,4,2025-06-13,228.35,24.2,Cash,Price matched to competitor flyer
424,10,71,2203,21,2,2025-04-25,24.29,31.2,Cash,Loyalty tier discount applied
425,12,18,4177,782,1,2025-09-06,119.5,8.8,Credit Card,Loyalty tier discount applied
434,12,36,1386,258,2,2025-03-19,146.95,6.1,Debit Card,Loyalty tier discount applied
438,10,15,3050,184,2,2025-07-24,218.75,27.2,Credit Card,Loyalty tier discount applied
439,10,75,837,69,1,2024-10-22,288.55,30.7,Debit Card,Promo code SAVE10 applied at checkout
443,10,55,1569,1301,2,2025-06-29,43.39,26.5,Debit Card,
