stock_id,store_id,product_id,quantity,reorder_level,last_restocked,batch_number,expiry_date,received_date,condition_notes
1,4,1689,58,36,2025-09-05,BATCH-1,2028-10-01,2025-09-05,
2,6,3322,51,53,2025-07-20,BATCH-2,2027-02-25,2025-07-20,Below reorder level - reorder placed 2025-07-26
3,5,1668,95,24,2025-06-04,BATCH-3,2027-11-18,2025-06-04,
4,11,969,35,32,2026-01-07,BATCH-4,2029-03-16,2026-01-07,
5,7,790,97,31,2026-07-17,BATCH-5,2029-03-31,2026-07-17,
6,5,3070,101,52,2026-07-19,BATCH-6,2027-07-13,2026-07-19,
7,12,2708,57,22,2026-03-08,BATCH-7,2029-09-14,2026-03-08,
8,4,2924,96,45,2026-06-01,BATCH-8,2026-11-19,2026-06-01,
9,3,1706,116,57,2026-05-28,BATCH-9,2029-08-17,2026-05-28,
10,3,2529,87,39,2026-03-02,BATCH-10,2028-01-24,2026-03-02,
11,7,1448,116,36,2026-08-29,BATCH-11,2029-10-15,2026-08-29,
12,2,3577,19,49,2025-11-27,BATCH-12,2028-07-22,2025-11-27,
13,5,3611,74,35,2026-06-01,BATCH-13,2026-01-28,2026-06-01,Expiring in 0 days - flag for clearance
14,9,4434,38,27,2026-06-01,BATCH-14,2029-02-18,2026-06-01,
15,1,1499,1,54,2025-11-13,BATCH-15,2029-09-14,2025-11-13,
16,10,2711,46,31,2025-10-22,BATCH-16,2026-06-21,2025-10-22,Expiring in 0 days - flag for clearance
17,6,835,64,20,2026-07-08,BATCH-17,2027-05-02,2026-07-08,
18,1,2307,45,59,2025-10-24,BATCH-18,2026-05-12,2025-10-24,Expiring in 0 days - flag for clearance; Below reorder level - reorder placed 2025-11-04
19,7,3389,70,48,2025-12-28,BATCH-19,2026-11-20,2025-12-28,Expiring in 71 days - monitor
20,2,4738,13,54,2025-12-08,BATCH-20,2027-11-25,2025-12-08,Below reorder level - reorder placed 2025-12-19
21,11,4020,66,27,2025-09-11,BATCH-21,2026-11-23,2025-09-11,
22,12,859,79,29,2026-06-01,BATCH-22,2026-11-27,2026-06-01,Expiring in 78 days - monitor
23,11,4719,59,15,2025-06-17,BATCH-23,2026-12-29,2025-06-17,
24,1,1643,55,32,2026-04-24,BATCH-24,2027-05-16,2026-04-24,
25,5,4927,48,25,2025-08-04,BATCH-25,2026-09-21,2025-08-04,Expiring in 11 days - flag for clearance
26,7,2568,57,58,2026-02-24,BATCH-26,2026-06-30,2026-02-24,Expiring in 0 days - flag for clearance; Below reorder level - reorder placed 2026-03-01
27,6,3244,94,42,2025-11-22,BATCH-27,2029-08-05,2025-11-22,
28,1,4273,15,18,2025-11-03,BATCH-28,2026-06-16,2025-11-03,Expiring in 0 days - flag for clearance
29,9,2610,65,47,2025-08-21,BATCH-29,2026-07-03,2025-08-21,Expiring in 0 days - flag for clearance
30,9,384,20,47,2026-04-02,BATCH-30,2029-09-10,2026-04-02,Below reorder level - reorder placed 2026-04-14
31,2,1025,97,29,2026-02-06,BATCH-31,2026-06-12,2026-02-06,Expiring in 0 days - flag for clearance
32,6,705,47,51,2026-06-18,BATCH-32,2025-12-25,2026-06-18,Expiring in 0 days - flag for clearance; Below reorder level - reorder placed 2026-07-01
33,1,275,9,45,2025-11-21,BATCH-33,2026-01-17,2025-11-21,Expiring in 0 days - flag for clearance
34,1,1397,72,38,2025-09-14,BATCH-34,2028-09-28,2025-09-14,
35,5,2233,77,22,2026-04-09,BATCH-35,2026-07-31,2026-04-09,Expiring in 0 days - flag for clearance
36,3,4040,15,47,2025-11-15,BATCH-36,2026-10-14,2025-11-15,Below reorder level - reorder placed 2025-11-24
37,10,2214,28,31,2026-02-23,BATCH-37,2030-01-09,2026-02-23,
38,11,1790,63,16,2026-06-11,BATCH-38,2028-03-20,2026-06-11,
39,11,546,82,43,2025-12-03,BATCH-39,2029-09-17,2025-12-03,
40,9,2162,85,19,2025-07-31,BATCH-40,2026-10-14,2025-07-31,
41,5,3074,113,54,2026-01-09,BATCH-41,2026-12-29,2026-01-09,
42,6,4214,87,56,2025-07-30,BATCH-42,2027-12-28,2025-07-30,
43,4,4984,59,46,2025-06-16,BATCH-43,2029-11-01,2025-06-16,
44,11,3045,16,59,2025-09-10,BATCH-44,2029-04-08,2025-09-10,Below reorder level - reorder placed 2025-09-20
45,9,3684,113,46,2026-04-19,BATCH-45,2029-03-10,2026-04-19,
46,7,2780,37,52,2026-02-28,BATCH-46,2028-08-31,2026-02-28,
47,11,3985,8,52,2025-11-29,BATCH-47,2028-05-27,2025-11-29,Below reorder level - reorder placed 2025-12-11
48,6,4945,63,32,2026-05-17,BATCH-48,2029-10-26,2026-05-17,
49,11,3745,49,25,2025-08-31,BATCH-49,2026-11-16,2025-08-31,Expiring in 67 days - monitor
50,1,2961,93,42,2026-06-02,BATCH-50,2030-01-06,2026-06-02,
51,8,2323,52,40,2026-05-23,BATCH-51,2027-11-22,2026-05-23,
52,8,2232,57,51,2025-09-18,BATCH-52,2027-09-13,2025-09-18,
53,3,865,90,55,2026-06-09,BATCH-53,2027-02-13,2026-06-09,
54,11,4238,100,58,2025-08-05,BATCH-54,2026-07-29,2025-08-05,Expiring in 0 days - flag for clearance
55,3,1446,115,36,2026-07-13,BATCH-55,2029-10-15,2026-07-13,
56,9,1439,45,42,2026-06-16,BATCH-56,2026-11-08,2026-06-16,
57,4,3633,10,58,2026-05-22,BATCH-57,2028-06-14,2026-05-22,Below reorder level - reorder placed 2026-06-03
