sale_id,store_id,employee_id,product_id,customer_id,quantity,sale_date,unit_price,discount_pct,payment_method,notes,promo_code,cost_price,sales_amount,cost_amount,profit,margin_pct
2,11,44,4308,1300,3,06/10/2025,56.69,29.6,Debit Card,,,36.82,170.07,110.46000000000001,59.609999999999985,35.05027341682836
3,11,63,2359,586,5,09/12/2025,104.55,33.7,Credit Card,,,73.4,522.75,367.0,155.75,29.794356767097085
4,10,33,44,1381,2,18/08/2025,38.39,25.6,Credit Card,,,16.1,76.78,32.2,44.58,58.06199531127898
5,12,60,3991,146,5,12/12/2024,21.74,4.6,Debit Card,Promo code LOYALTY20 applied at checkout,CODE,9.23,108.69999999999999,46.150000000000006,62.54999999999998,57.54369825206991
6,10,16,1274,158,5,02/08/2025,102.58,32.3,Cash,,,59.25,512.9,296.25,216.64999999999998,42.24020276857087
15,10,101,3653,80,3,27/01/2025,185.64,25.4,Credit Card,Promo code WELCOME15 applied at checkout,CODE,101.96,556.92,305.88,251.03999999999996,45.07649213531566
18,11,63,4795,795,5,01/08/2025,213.27,32.4,Cash,Price matched to competitor flyer,,84.98,1066.3500000000001,424.90000000000003,641.45,60.153795658086
24,9,61,3820,1362,2,10/01/2025,233.4,7.4,Credit Card,,,129.99,466.8,259.98,206.82,44.30591259640103
26,11,97,2982,1362,1,04/09/2025,164.75,29.5,Credit Card,Promo code SAVE10 applied at checkout,CODE,114.65,164.75,114.65,50.099999999999994,30.409711684370254
29,11,64,4913,120,1,25/01/2025,96.45,26.6,Cash,,,34.41,96.45,34.41,62.040000000000006,64.32348367029549
34,11,12,1054,426,1,07/12/2024,245.44,24.6,Cash,Promo code LOYALTY20 applied at checkout,CODE,290.1,245.44,290.1,-44.660000000000025,-18.195893089960897
37,12,93,3955,454,2,19/12/2024,21.86,8.7,Cash,,,13.2,43.72,26.4,17.32,39.615736505032025
39,9,61,1113,236,2,31/05/2025,155.61,3.3,Debit Card,,,91.4,311.22,182.8,128.42000000000002,41.26341494762548
40,10,33,648,1020,5,23/04/2025,102.52,25.9,Credit Card,,,63.0,512.6,315.0,197.60000000000002,38.548575887631685
44,11,63,932,205,1,10/10/2025,21.25,23.3,Online,,,14.9,21.25,14.9,6.35,29.88235294117647
49,9,111,715,136,1,07/11/2025,91.81,8.8,Debit Card,Promo code SAVE10 applied at checkout,CODE,49.95,91.81,49.95,41.86,45.59416185600697
51,12,102,1809,1361,4,26/03/2025,154.49,5.4,Credit Card,,,87.6,617.96,350.4,267.56000000000006,43.297300796168045
53,12,108,1003,893,1,03/07/2025,221.6,6.4,Credit Card,,,120.35,221.6,120.35,101.25,45.69043321299639
54,11,44,3686,101,4,11/07/2025,112.16,23.6,Debit Card,Loyalty tier discount applied,,55.41,448.64,221.64,227.0,50.59736091298146
56,11,81,3525,797,1,25/09/2025,232.12,32.7,Online,,,114.0,232.12,114.0,118.12,50.887471997242805
59,11,12,240,19,2,20/09/2025,145.18,25.1,Cash,Loyalty tier discount applied,,93.41,290.36,186.82,103.54000000000002,35.65918170546908
61,9,61,2407,18,5,18/03/2025,40.4,8.2,Debit Card,,,22.31,202.0,111.55,90.45,44.77722772277228
62,9,51,3829,1095,1,05/05/2025,21.98,4.7,Online,,,15.67,21.98,15.67,6.3100000000000005,28.707916287534125
63,12,18,2037,89,5,17/04/2025,134.21,5.9,Credit Card,Price matched to competitor flyer,,52.35,671.0500000000001,261.75,409.30000000000007,60.99396468221444
66,11,64,1861,90,2,10/08/2025,150.67,25.3,Online,Price matched to competitor flyer,,54.59,301.34,109.18,192.15999999999997,63.76850069688723
67,12,36,2398,456,3,08/05/2025,76.97,6.5,Credit Card,,,43.04,230.91,129.12,101.78999999999999,44.082109912953094
70,10,39,3995,1249,1,10/05/2025,47.13,32.4,Debit Card,Promo code WELCOME15 applied at checkout,CODE,29.13,47.13,29.13,18.000000000000004,38.192234245703375
71,11,44,3852,184,2,11/01/2025,39.73,29.0,Online,Loyalty tier discount applied,,18.78,79.46,37.56,41.89999999999999,52.730933803171396
78,11,44,2426,382,1,04/09/2025,6.96,32.8,Cash,,,3.22,6.96,3.22,3.7399999999999998,53.735632183908045
82,12,108,364,123,5,25/02/2025,46.25,4.4,Credit Card,Promo code SAVE10 applied at checkout,CODE,17.09,231.25,85.45,145.8,63.04864864864865
88,9,51,3488,18,1,16/10/2024,26.16,10.9,Online,Promo code SAVE10 applied at checkout,CODE,11.53,26.16,11.53,14.63,55.925076452599384
89,11,81,635,249,3,02/03/2025,261.12,25.5,Debit Card,Promo code WELCOME15 applied at checkout,CODE,135.72,783.36,407.15999999999997,376.20000000000005,48.023897058823536
94,12,18,4164,119,5,10/04/2025,295.7,9.7,Credit Card,Promo code SEASON25 applied at checkout,CODE,160.46,1478.5,802.3000000000001,676.1999999999999,45.73554277984444
97,11,97,4362,265,1,02/04/2025,108.42,33.9,Debit Card,Price matched to competitor flyer,,51.39,108.42,51.39,57.03,52.60099612617598
98,9,52,3325,166,4,30/06/2025,134.9,7.3,Cash,,,93.2,539.6,372.8,166.8,30.911786508524834
102,12,100,3780,978,5,04/06/2025,251.54,10.9,Debit Card,Price matched to competitor flyer,,180.52,1257.7,902.6,355.1,28.23407807903316
103,9,111,2875,884,1,19/09/2025,183.71,5.5,Online,Promo code SAVE10 applied at checkout,CODE,115.35,183.71,115.35,68.36000000000001,37.21082140329868
105,9,61,4624,1485,1,17/06/2025,94.8,3.9,Cash,,,63.48,94.8,63.48,31.32,33.037974683544306
106,9,27,3236,6,1,10/07/2025,173.53,6.8,Online,Promo code LOYALTY20 applied at checkout,CODE,78.24,173.53,78.24,95.29,54.912695211202674
110,12,100,1061,1095,3,26/08/2025,174.31,5.0,Cash,Promo code SAVE10 applied at checkout,CODE,89.63,522.9300000000001,268.89,254.04000000000008,48.580115885491374
112,10,16,3558,1321,4,25/11/2024,34.06,28.3,Credit Card,,,20.97,136.24,83.88,52.360000000000014,38.43217850851439
